ip,type,is_cidr,sources,source_count,category,confidence,first_seen,last_seen
147.185.133.62,ipv4,False,CINS Army|Stamparm IPsum,2,scanner,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.185.133.63,ipv4,False,BinaryDefense|CINS Army|Stamparm IPsum,3,attacker,60,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.185.133.65,ipv4,False,CINS Army|Stamparm IPsum,2,scanner,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.185.133.66,ipv4,False,CINS Army|RTBH (Turkiye)|Stamparm IPsum,3,scanner,60,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.185.133.67,ipv4,False,CINS Army|Stamparm IPsum,2,scanner,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.185.133.68,ipv4,False,CINS Army|Stamparm IPsum,2,scanner,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.185.133.69,ipv4,False,CINS Army|Stamparm IPsum,2,scanner,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.185.133.7,ipv4,False,CINS Army|RTBH (Turkiye)|Stamparm IPsum,3,scanner,60,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.185.133.70,ipv4,False,CINS Army|Stamparm IPsum,2,scanner,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.185.133.71,ipv4,False,CINS Army|Stamparm IPsum,2,scanner,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.185.133.72,ipv4,False,CINS Army|Stamparm IPsum,2,scanner,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.185.133.73,ipv4,False,CINS Army|Stamparm IPsum,2,scanner,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.185.133.74,ipv4,False,CINS Army|Stamparm IPsum,2,scanner,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.185.133.75,ipv4,False,CINS Army|Stamparm IPsum,2,scanner,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
147.185.133.76,ipv4,False,CINS Army|Stamparm IPsum,2,scanner,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
